source_sheet,source_row,region_id,keyword_type,content_family,variables_present,variables_complete,content_completeness,suitable_page_types,unsuitable_page_types,content_status,reason
대구,2,kr-b300-ad6c,과외,general_tutor,"{'현재상태': True, '핵심문제·실제행동': True, '문제원인': True, '개선방법·변화기준': True, '글전개유형': True}",True,COMPLETE,region_tutor,region_subject|region_stage|region_stage_subject|region_school_type|region_school_type_subject|region_exam|region_exam_subject,content_source_ready,F-J are general tutor learning-state variables; blank variables are a normal future-content-update state.
대구,3,kr-b300-ad6c-kr-b300-ad6c-bd81-ad6c,과외,general_tutor,"{'현재상태': True, '핵심문제·실제행동': True, '문제원인': True, '개선방법·변화기준': True, '글전개유형': True}",True,COMPLETE,region_tutor,region_subject|region_stage|region_stage_subject|region_school_type|region_school_type_subject|region_exam|region_exam_subject,content_source_ready,F-J are general tutor learning-state variables; blank variables are a normal future-content-update state.
대구,4,kr-b300-ad6c-kr-b300-ad6c-b0a8-ad6c,과외,general_tutor,"{'현재상태': True, '핵심문제·실제행동': True, '문제원인': True, '개선방법·변화기준': True, '글전개유형': True}",True,COMPLETE,region_tutor,region_subject|region_stage|region_stage_subject|region_school_type|region_school_type_subject|region_exam|region_exam_subject,content_source_ready,F-J are general tutor learning-state variables; blank variables are a normal future-content-update state.
대구,5,kr-b300-ad6c-kr-b2ec-c11c-ad6c,과외,general_tutor,"{'현재상태': True, '핵심문제·실제행동': True, '문제원인': True, '개선방법·변화기준': True, '글전개유형': True}",True,COMPLETE,region_tutor,region_subject|region_stage|region_stage_subject|region_school_type|region_school_type_subject|region_exam|region_exam_subject,content_source_ready,F-J are general tutor learning-state variables; blank variables are a normal future-content-update state.
대구,6,kr-b300-ad6c-kr-b2ec-c131-ad70,과외,general_tutor,"{'현재상태': True, '핵심문제·실제행동': True, '문제원인': True, '개선방법·변화기준': True, '글전개유형': True}",True,COMPLETE,region_tutor,region_subject|region_stage|region_stage_subject|region_school_type|region_school_type_subject|region_exam|region_exam_subject,content_source_ready,F-J are general tutor learning-state variables; blank variables are a normal future-content-update state.
대구,7,kr-b300-ad6c-kr-b300-ad6c-b3d9-ad6c,과외,general_tutor,"{'현재상태': True, '핵심문제·실제행동': True, '문제원인': True, '개선방법·변화기준': True, '글전개유형': True}",True,COMPLETE,region_tutor,region_subject|region_stage|region_stage_subject|region_school_type|region_school_type_subject|region_exam|region_exam_subject,content_source_ready,F-J are general tutor learning-state variables; blank variables are a normal future-content-update state.
대구,8,kr-b300-ad6c-kr-b300-ad6c-c11c-ad6c,과외,general_tutor,"{'현재상태': True, '핵심문제·실제행동': True, '문제원인': True, '개선방법·변화기준': True, '글전개유형': True}",True,COMPLETE,region_tutor,region_subject|region_stage|region_stage_subject|region_school_type|region_school_type_subject|region_exam|region_exam_subject,content_source_ready,F-J are general tutor learning-state variables; blank variables are a normal future-content-update state.
대구,9,kr-b300-ad6c-kr-c218-c131-ad6c,과외,general_tutor,"{'현재상태': True, '핵심문제·실제행동': True, '문제원인': True, '개선방법·변화기준': True, '글전개유형': True}",True,COMPLETE,region_tutor,region_subject|region_stage|region_stage_subject|region_school_type|region_school_type_subject|region_exam|region_exam_subject,content_source_ready,F-J are general tutor learning-state variables; blank variables are a normal future-content-update state.
대구,10,kr-b300-ad6c-kr-b300-ad6c-c911-ad6c,과외,general_tutor,"{'현재상태': True, '핵심문제·실제행동': True, '문제원인': True, '개선방법·변화기준': True, '글전개유형': True}",True,COMPLETE,region_tutor,region_subject|region_stage|region_stage_subject|region_school_type|region_school_type_subject|region_exam|region_exam_subject,content_source_ready,F-J are general tutor learning-state variables; blank variables are a normal future-content-update state.
대구,11,kr-b300-ad6c-kr-b300-ad6c-c911-ad6c-kr-ac80-b2e8-b3d9,과외,general_tutor,"{'현재상태': True, '핵심문제·실제행동': True, '문제원인': True, '개선방법·변화기준': True, '글전개유형': True}",True,COMPLETE,region_tutor,region_subject|region_stage|region_stage_subject|region_school_type|region_school_type_subject|region_exam|region_exam_subject,content_source_ready,F-J are general tutor learning-state variables; blank variables are a normal future-content-update state.
대구,12,kr-b300-ad6c-kr-b300-ad6c-c911-ad6c-kr-ace0-c131-b3d9,과외,general_tutor,"{'현재상태': True, '핵심문제·실제행동': True, '문제원인': True, '개선방법·변화기준': True, '글전개유형': True}",True,COMPLETE,region_tutor,region_subject|region_stage|region_stage_subject|region_school_type|region_school_type_subject|region_exam|region_exam_subject,content_source_ready,F-J are general tutor learning-state variables; blank variables are a normal future-content-update state.
대구,13,kr-b300-ad6c-kr-b300-ad6c-c911-ad6c-kr-ad6c-c554-b3d9,과외,general_tutor,"{'현재상태': True, '핵심문제·실제행동': True, '문제원인': True, '개선방법·변화기준': True, '글전개유형': True}",True,COMPLETE,region_tutor,region_subject|region_stage|region_stage_subject|region_school_type|region_school_type_subject|region_exam|region_exam_subject,content_source_ready,F-J are general tutor learning-state variables; blank variables are a normal future-content-update state.
