normalized_school_name,school_level,reference_count,region_count,sigungu_count,sido_count,classification,confidence,source_region_statuses
대진고등학교,high_school,7,2,2,2,DIFFERENT_SCHOOLS_SAME_NAME,high,normal
성산고등학교,high_school,22,2,2,2,DIFFERENT_SCHOOLS_SAME_NAME,high,normal
장안제일고등학교,high_school,39,4,2,2,DIFFERENT_SCHOOLS_SAME_NAME,high,normal
대연고등학교,high_school,37,3,3,2,DIFFERENT_SCHOOLS_SAME_NAME,high,normal
삼정고등학교,high_school,28,2,2,2,DIFFERENT_SCHOOLS_SAME_NAME,high,normal
구덕고등학교,high_school,43,5,3,2,DIFFERENT_SCHOOLS_SAME_NAME,high,normal
다대고등학교,high_school,26,2,2,2,DIFFERENT_SCHOOLS_SAME_NAME,high,normal
부산동여자고등학교,high_school,34,4,3,2,DIFFERENT_SCHOOLS_SAME_NAME,high,normal
남산고등학교,high_school,10,2,2,2,DIFFERENT_SCHOOLS_SAME_NAME,high,normal
지산고등학교,high_school,31,3,3,3,DIFFERENT_SCHOOLS_SAME_NAME,high,normal
기장고등학교,high_school,17,2,2,2,DIFFERENT_SCHOOLS_SAME_NAME,high,normal
예문여자고등학교,high_school,25,2,2,2,DIFFERENT_SCHOOLS_SAME_NAME,high,normal
부산중앙여자고등학교,high_school,10,2,2,2,DIFFERENT_SCHOOLS_SAME_NAME,high,normal
사직여자고등학교,high_school,18,2,2,2,DIFFERENT_SCHOOLS_SAME_NAME,high,normal
가야고등학교,high_school,12,2,2,2,DIFFERENT_SCHOOLS_SAME_NAME,high,normal
개금고등학교,high_school,17,2,2,2,DIFFERENT_SCHOOLS_SAME_NAME,high,normal
양정고등학교,high_school,17,2,2,2,DIFFERENT_SCHOOLS_SAME_NAME,high,normal
부산진고등학교,high_school,10,2,2,2,DIFFERENT_SCHOOLS_SAME_NAME,high,normal
낙동고등학교,high_school,10,2,2,2,DIFFERENT_SCHOOLS_SAME_NAME,high,normal
만덕고등학교,high_school,19,2,2,2,DIFFERENT_SCHOOLS_SAME_NAME,high,normal
주례여자고등학교,high_school,18,2,2,2,DIFFERENT_SCHOOLS_SAME_NAME,high,normal
성일여자고등학교,high_school,10,2,2,2,DIFFERENT_SCHOOLS_SAME_NAME,high,normal
건국고등학교,high_school,18,2,2,2,DIFFERENT_SCHOOLS_SAME_NAME,high,normal
덕문여자고등학교,high_school,18,2,2,2,DIFFERENT_SCHOOLS_SAME_NAME,high,normal
이사벨고등학교,high_school,18,2,2,2,DIFFERENT_SCHOOLS_SAME_NAME,high,normal
반여고등학교,high_school,22,2,2,2,DIFFERENT_SCHOOLS_SAME_NAME,high,normal
해운대여자고등학교,high_school,28,2,2,2,DIFFERENT_SCHOOLS_SAME_NAME,high,normal
센텀고등학교,high_school,18,2,2,2,DIFFERENT_SCHOOLS_SAME_NAME,high,normal
대전대성고등학교,high_school,21,2,2,2,DIFFERENT_SCHOOLS_SAME_NAME,high,normal
대전가오고등학교,high_school,47,5,3,2,DIFFERENT_SCHOOLS_SAME_NAME,high,normal
대전괴정고등학교,high_school,75,8,4,2,DIFFERENT_SCHOOLS_SAME_NAME,high,normal
대전도안고등학교,high_school,136,14,4,2,DIFFERENT_SCHOOLS_SAME_NAME,high,normal
대전이문고등학교,high_school,7,2,2,2,DIFFERENT_SCHOOLS_SAME_NAME,high,normal
대전송촌고등학교,high_school,12,2,2,2,DIFFERENT_SCHOOLS_SAME_NAME,high,normal
명석고등학교,high_school,15,2,2,2,DIFFERENT_SCHOOLS_SAME_NAME,high,normal
대전여자고등학교,high_school,6,2,2,2,DIFFERENT_SCHOOLS_SAME_NAME,high,normal
보문고등학교,high_school,13,2,2,2,DIFFERENT_SCHOOLS_SAME_NAME,high,normal
한밭고등학교,high_school,18,2,2,2,DIFFERENT_SCHOOLS_SAME_NAME,high,normal
