page_id,region_id,keyword,sheet,row,route,k_exists,original_readiness,final_readiness,hold_reason,generation_allowed
candidate:tutor:kr-b300-ad6c-kr-b300-ad6c-b0a8-ad6c:region_tutor,,대구남구,대구,4,/tutor/kr-b300-ad6c-kr-b300-ad6c-b0a8-ad6c/region_tutor,true,READY_REMOVE_DUPLICATE_H1,READY_REMOVE_DUPLICATE_H1,,true
candidate:tutor:kr-b300-ad6c-kr-b300-ad6c-c911-ad6c-kr-ac80-b2e8-b3d9:region_tutor,,검단동,대구,11,/tutor/kr-b300-ad6c-kr-b300-ad6c-c911-ad6c-kr-ac80-b2e8-b3d9/region_tutor,true,READY_REMOVE_DUPLICATE_H1,READY_REMOVE_DUPLICATE_H1,,true
candidate:tutor:kr-b300-ad6c-kr-b300-ad6c-c911-ad6c-kr-ace0-c131-b3d9:region_tutor,,고성동,대구,12,/tutor/kr-b300-ad6c-kr-b300-ad6c-c911-ad6c-kr-ace0-c131-b3d9/region_tutor,true,READY_REMOVE_DUPLICATE_H1,READY_REMOVE_DUPLICATE_H1,,true
candidate:tutor:kr-b300-ad6c-kr-b300-ad6c-c911-ad6c-kr-ad6c-c554-b3d9:region_tutor,,구암동,대구,13,/tutor/kr-b300-ad6c-kr-b300-ad6c-c911-ad6c-kr-ad6c-c554-b3d9/region_tutor,true,READY_REMOVE_DUPLICATE_H1,READY_REMOVE_DUPLICATE_H1,,true
candidate:tutor:kr-b300-ad6c-kr-b300-ad6c-c911-ad6c-kr-ad6d-c6b0-b3d9:region_tutor,,국우동,대구,14,/tutor/kr-b300-ad6c-kr-b300-ad6c-c911-ad6c-kr-ad6d-c6b0-b3d9/region_tutor,true,READY_REMOVE_DUPLICATE_H1,READY_REMOVE_DUPLICATE_H1,,true
candidate:tutor:kr-b300-ad6c-kr-b300-ad6c-c911-ad6c-kr-b300-d604-b3d9:region_tutor,,대현동,대구,15,/tutor/kr-b300-ad6c-kr-b300-ad6c-c911-ad6c-kr-b300-d604-b3d9/region_tutor,true,READY_REMOVE_DUPLICATE_H1,READY_REMOVE_DUPLICATE_H1,,true
candidate:tutor:kr-b300-ad6c-kr-b300-ad6c-c911-ad6c-kr-b300-ad6c-b3d9-cc9c-b3d9:region_tutor,,대구동천동,대구,16,/tutor/kr-b300-ad6c-kr-b300-ad6c-c911-ad6c-kr-b300-ad6c-b3d9-cc9c-b3d9/region_tutor,true,READY_REMOVE_DUPLICATE_H1,READY_REMOVE_DUPLICATE_H1,,true
candidate:tutor:kr-b300-ad6c-kr-b300-ad6c-c911-ad6c-kr-bcf5-d604-b3d9:region_tutor,,복현동,대구,18,/tutor/kr-b300-ad6c-kr-b300-ad6c-c911-ad6c-kr-bcf5-d604-b3d9/region_tutor,true,READY_REMOVE_DUPLICATE_H1,READY_REMOVE_DUPLICATE_H1,,true
candidate:tutor:kr-b300-ad6c-kr-b300-ad6c-c911-ad6c-kr-c0b0-aca9-b3d9:region_tutor,,산격동,대구,19,/tutor/kr-b300-ad6c-kr-b300-ad6c-c911-ad6c-kr-c0b0-aca9-b3d9/region_tutor,true,READY_REMOVE_DUPLICATE_H1,READY_REMOVE_DUPLICATE_H1,,true
candidate:tutor:kr-b300-ad6c-kr-b300-ad6c-c911-ad6c-kr-c74d-b0b4-b3d9:region_tutor,,읍내동,대구,20,/tutor/kr-b300-ad6c-kr-b300-ad6c-c911-ad6c-kr-c74d-b0b4-b3d9/region_tutor,true,HOLD_CONTENT_H1,HOLD_CONTENT_H1,content_section_h1,false
candidate:tutor:kr-b300-ad6c-kr-b300-ad6c-c911-ad6c-kr-ce68-c0b0-b3d9:region_tutor,,침산동,대구,22,/tutor/kr-b300-ad6c-kr-b300-ad6c-c911-ad6c-kr-ce68-c0b0-b3d9/region_tutor,true,READY_REMOVE_DUPLICATE_H1,READY_REMOVE_DUPLICATE_H1,,true
candidate:tutor:kr-b300-ad6c-kr-b300-ad6c-c911-ad6c-kr-b300-ba85-b3d9:region_tutor,,대명동,대구,24,/tutor/kr-b300-ad6c-kr-b300-ad6c-c911-ad6c-kr-b300-ba85-b3d9/region_tutor,true,READY_REMOVE_DUPLICATE_H1,READY_REMOVE_DUPLICATE_H1,,true
candidate:tutor:kr-b300-ad6c-kr-b300-ad6c-c911-ad6c-kr-bd09-b355-b3d9:region_tutor,,봉덕동,대구,25,/tutor/kr-b300-ad6c-kr-b300-ad6c-c911-ad6c-kr-bd09-b355-b3d9/region_tutor,true,READY_REMOVE_DUPLICATE_H1,READY_REMOVE_DUPLICATE_H1,,true
candidate:tutor:kr-b300-ad6c-kr-b300-ad6c-c911-ad6c-kr-ac10-c0bc-b3d9:region_tutor,,감삼동,대구,27,/tutor/kr-b300-ad6c-kr-b300-ad6c-c911-ad6c-kr-ac10-c0bc-b3d9/region_tutor,true,READY_REMOVE_DUPLICATE_H1,READY_REMOVE_DUPLICATE_H1,,true
candidate:tutor:kr-b300-ad6c-kr-b300-ad6c-c911-ad6c-kr-b3c4-c6d0-b3d9:region_tutor,,도원동,대구,29,/tutor/kr-b300-ad6c-kr-b300-ad6c-c911-ad6c-kr-b3c4-c6d0-b3d9/region_tutor,true,READY_REMOVE_DUPLICATE_H1,READY_REMOVE_DUPLICATE_H1,,true
candidate:tutor:kr-b300-ad6c-kr-b300-ad6c-c911-ad6c-kr-b450-b958-b3d9:region_tutor,,두류동,대구,30,/tutor/kr-b300-ad6c-kr-b300-ad6c-c911-ad6c-kr-b450-b958-b3d9/region_tutor,true,READY_REMOVE_DUPLICATE_H1,READY_REMOVE_DUPLICATE_H1,,true
candidate:tutor:kr-b300-ad6c-kr-b300-ad6c-c911-ad6c-kr-bcf8-b3d9:region_tutor,,본동,대구,31,/tutor/kr-b300-ad6c-kr-b300-ad6c-c911-ad6c-kr-bcf8-b3d9/region_tutor,true,HOLD_CONTENT_H1,HOLD_CONTENT_H1,content_section_h1,false
candidate:tutor:kr-b300-ad6c-kr-b300-ad6c-c911-ad6c-kr-c0c1-c778-b3d9:region_tutor,,상인동,대구,33,/tutor/kr-b300-ad6c-kr-b300-ad6c-c911-ad6c-kr-c0c1-c778-b3d9/region_tutor,true,READY_REMOVE_DUPLICATE_H1,READY_REMOVE_DUPLICATE_H1,,true
