page_id,route,final_status,generation_allowed,source_sheet,source_row,k_present,output_path,output_exists_after,action
candidate:tutor:kr-b300-ad6c-kr-b300-ad6c-b0a8-ad6c:region_tutor,/tutor/kr-b300-ad6c-kr-b300-ad6c-b0a8-ad6c/region_tutor,READY_REMOVE_DUPLICATE_H1,true,대구,4,true,C:\프로젝트\tutorplan\output\tutor\kr-b300-ad6c-kr-b300-ad6c-b0a8-ad6c\region_tutor\index.html,True,GENERATED_K_REMOVE_H1
candidate:tutor:kr-b300-ad6c-kr-b300-ad6c-c911-ad6c-kr-ac80-b2e8-b3d9:region_tutor,/tutor/kr-b300-ad6c-kr-b300-ad6c-c911-ad6c-kr-ac80-b2e8-b3d9/region_tutor,READY_REMOVE_DUPLICATE_H1,true,대구,11,true,C:\프로젝트\tutorplan\output\tutor\kr-b300-ad6c-kr-b300-ad6c-c911-ad6c-kr-ac80-b2e8-b3d9\region_tutor\index.html,True,GENERATED_K_REMOVE_H1
candidate:tutor:kr-b300-ad6c-kr-b300-ad6c-c911-ad6c-kr-ace0-c131-b3d9:region_tutor,/tutor/kr-b300-ad6c-kr-b300-ad6c-c911-ad6c-kr-ace0-c131-b3d9/region_tutor,READY_REMOVE_DUPLICATE_H1,true,대구,12,true,C:\프로젝트\tutorplan\output\tutor\kr-b300-ad6c-kr-b300-ad6c-c911-ad6c-kr-ace0-c131-b3d9\region_tutor\index.html,True,GENERATED_K_REMOVE_H1
candidate:tutor:kr-b300-ad6c-kr-b300-ad6c-c911-ad6c-kr-ad6c-c554-b3d9:region_tutor,/tutor/kr-b300-ad6c-kr-b300-ad6c-c911-ad6c-kr-ad6c-c554-b3d9/region_tutor,READY_REMOVE_DUPLICATE_H1,true,대구,13,true,C:\프로젝트\tutorplan\output\tutor\kr-b300-ad6c-kr-b300-ad6c-c911-ad6c-kr-ad6c-c554-b3d9\region_tutor\index.html,True,GENERATED_K_REMOVE_H1
candidate:tutor:kr-b300-ad6c-kr-b300-ad6c-c911-ad6c-kr-ad6d-c6b0-b3d9:region_tutor,/tutor/kr-b300-ad6c-kr-b300-ad6c-c911-ad6c-kr-ad6d-c6b0-b3d9/region_tutor,READY_REMOVE_DUPLICATE_H1,true,대구,14,true,C:\프로젝트\tutorplan\output\tutor\kr-b300-ad6c-kr-b300-ad6c-c911-ad6c-kr-ad6d-c6b0-b3d9\region_tutor\index.html,True,GENERATED_K_REMOVE_H1
candidate:tutor:kr-b300-ad6c-kr-b300-ad6c-c911-ad6c-kr-b300-d604-b3d9:region_tutor,/tutor/kr-b300-ad6c-kr-b300-ad6c-c911-ad6c-kr-b300-d604-b3d9/region_tutor,READY_REMOVE_DUPLICATE_H1,true,대구,15,true,C:\프로젝트\tutorplan\output\tutor\kr-b300-ad6c-kr-b300-ad6c-c911-ad6c-kr-b300-d604-b3d9\region_tutor\index.html,True,GENERATED_K_REMOVE_H1
candidate:tutor:kr-b300-ad6c-kr-b300-ad6c-c911-ad6c-kr-b300-ad6c-b3d9-cc9c-b3d9:region_tutor,/tutor/kr-b300-ad6c-kr-b300-ad6c-c911-ad6c-kr-b300-ad6c-b3d9-cc9c-b3d9/region_tutor,READY_REMOVE_DUPLICATE_H1,true,대구,16,true,C:\프로젝트\tutorplan\output\tutor\kr-b300-ad6c-kr-b300-ad6c-c911-ad6c-kr-b300-ad6c-b3d9-cc9c-b3d9\region_tutor\index.html,True,GENERATED_K_REMOVE_H1
candidate:tutor:kr-b300-ad6c-kr-b300-ad6c-c911-ad6c-kr-bcf5-d604-b3d9:region_tutor,/tutor/kr-b300-ad6c-kr-b300-ad6c-c911-ad6c-kr-bcf5-d604-b3d9/region_tutor,READY_REMOVE_DUPLICATE_H1,true,대구,18,true,C:\프로젝트\tutorplan\output\tutor\kr-b300-ad6c-kr-b300-ad6c-c911-ad6c-kr-bcf5-d604-b3d9\region_tutor\index.html,True,GENERATED_K_REMOVE_H1
candidate:tutor:kr-b300-ad6c-kr-b300-ad6c-c911-ad6c-kr-c0b0-aca9-b3d9:region_tutor,/tutor/kr-b300-ad6c-kr-b300-ad6c-c911-ad6c-kr-c0b0-aca9-b3d9/region_tutor,READY_REMOVE_DUPLICATE_H1,true,대구,19,true,C:\프로젝트\tutorplan\output\tutor\kr-b300-ad6c-kr-b300-ad6c-c911-ad6c-kr-c0b0-aca9-b3d9\region_tutor\index.html,True,GENERATED_K_REMOVE_H1
candidate:tutor:kr-b300-ad6c-kr-b300-ad6c-c911-ad6c-kr-ce68-c0b0-b3d9:region_tutor,/tutor/kr-b300-ad6c-kr-b300-ad6c-c911-ad6c-kr-ce68-c0b0-b3d9/region_tutor,READY_REMOVE_DUPLICATE_H1,true,대구,22,true,C:\프로젝트\tutorplan\output\tutor\kr-b300-ad6c-kr-b300-ad6c-c911-ad6c-kr-ce68-c0b0-b3d9\region_tutor\index.html,True,GENERATED_K_REMOVE_H1
candidate:tutor:kr-b300-ad6c-kr-b300-ad6c-c911-ad6c-kr-b300-ba85-b3d9:region_tutor,/tutor/kr-b300-ad6c-kr-b300-ad6c-c911-ad6c-kr-b300-ba85-b3d9/region_tutor,READY_REMOVE_DUPLICATE_H1,true,대구,24,true,C:\프로젝트\tutorplan\output\tutor\kr-b300-ad6c-kr-b300-ad6c-c911-ad6c-kr-b300-ba85-b3d9\region_tutor\index.html,True,GENERATED_K_REMOVE_H1
candidate:tutor:kr-b300-ad6c-kr-b300-ad6c-c911-ad6c-kr-bd09-b355-b3d9:region_tutor,/tutor/kr-b300-ad6c-kr-b300-ad6c-c911-ad6c-kr-bd09-b355-b3d9/region_tutor,READY_REMOVE_DUPLICATE_H1,true,대구,25,true,C:\프로젝트\tutorplan\output\tutor\kr-b300-ad6c-kr-b300-ad6c-c911-ad6c-kr-bd09-b355-b3d9\region_tutor\index.html,True,GENERATED_K_REMOVE_H1
candidate:tutor:kr-b300-ad6c-kr-b300-ad6c-c911-ad6c-kr-ac10-c0bc-b3d9:region_tutor,/tutor/kr-b300-ad6c-kr-b300-ad6c-c911-ad6c-kr-ac10-c0bc-b3d9/region_tutor,READY_REMOVE_DUPLICATE_H1,true,대구,27,true,C:\프로젝트\tutorplan\output\tutor\kr-b300-ad6c-kr-b300-ad6c-c911-ad6c-kr-ac10-c0bc-b3d9\region_tutor\index.html,True,GENERATED_K_REMOVE_H1
candidate:tutor:kr-b300-ad6c-kr-b300-ad6c-c911-ad6c-kr-b3c4-c6d0-b3d9:region_tutor,/tutor/kr-b300-ad6c-kr-b300-ad6c-c911-ad6c-kr-b3c4-c6d0-b3d9/region_tutor,READY_REMOVE_DUPLICATE_H1,true,대구,29,true,C:\프로젝트\tutorplan\output\tutor\kr-b300-ad6c-kr-b300-ad6c-c911-ad6c-kr-b3c4-c6d0-b3d9\region_tutor\index.html,True,GENERATED_K_REMOVE_H1
candidate:tutor:kr-b300-ad6c-kr-b300-ad6c-c911-ad6c-kr-b450-b958-b3d9:region_tutor,/tutor/kr-b300-ad6c-kr-b300-ad6c-c911-ad6c-kr-b450-b958-b3d9/region_tutor,READY_REMOVE_DUPLICATE_H1,true,대구,30,true,C:\프로젝트\tutorplan\output\tutor\kr-b300-ad6c-kr-b300-ad6c-c911-ad6c-kr-b450-b958-b3d9\region_tutor\index.html,True,GENERATED_K_REMOVE_H1
candidate:tutor:kr-b300-ad6c-kr-b300-ad6c-c911-ad6c-kr-c0c1-c778-b3d9:region_tutor,/tutor/kr-b300-ad6c-kr-b300-ad6c-c911-ad6c-kr-c0c1-c778-b3d9/region_tutor,READY_REMOVE_DUPLICATE_H1,true,대구,33,true,C:\프로젝트\tutorplan\output\tutor\kr-b300-ad6c-kr-b300-ad6c-c911-ad6c-kr-c0c1-c778-b3d9\region_tutor\index.html,True,GENERATED_K_REMOVE_H1
candidate:tutor:kr-b300-ad6c-kr-b300-ad6c-c911-ad6c-kr-c131-b2f9-b3d9:region_tutor,/tutor/kr-b300-ad6c-kr-b300-ad6c-c911-ad6c-kr-c131-b2f9-b3d9/region_tutor,READY_REMOVE_DUPLICATE_H1,true,대구,34,true,C:\프로젝트\tutorplan\output\tutor\kr-b300-ad6c-kr-b300-ad6c-c911-ad6c-kr-c131-b2f9-b3d9\region_tutor\index.html,True,GENERATED_K_REMOVE_H1
candidate:tutor:kr-b300-ad6c-kr-b300-ad6c-c911-ad6c-kr-c6a9-c0b0-b3d9:region_tutor,/tutor/kr-b300-ad6c-kr-b300-ad6c-c911-ad6c-kr-c6a9-c0b0-b3d9/region_tutor,READY_REMOVE_DUPLICATE_H1,true,대구,37,true,C:\프로젝트\tutorplan\output\tutor\kr-b300-ad6c-kr-b300-ad6c-c911-ad6c-kr-c6a9-c0b0-b3d9\region_tutor\index.html,True,GENERATED_K_REMOVE_H1
candidate:tutor:kr-b300-ad6c-kr-b300-ad6c-c911-ad6c-kr-c720-cc9c-b3d9:region_tutor,/tutor/kr-b300-ad6c-kr-b300-ad6c-c911-ad6c-kr-c720-cc9c-b3d9/region_tutor,READY_REMOVE_DUPLICATE_H1,true,대구,39,true,C:\프로젝트\tutorplan\output\tutor\kr-b300-ad6c-kr-b300-ad6c-c911-ad6c-kr-c720-cc9c-b3d9\region_tutor\index.html,True,GENERATED_K_REMOVE_H1
candidate:tutor:kr-b300-ad6c-kr-b300-ad6c-c911-ad6c-kr-c774-ace1-b3d9:region_tutor,/tutor/kr-b300-ad6c-kr-b300-ad6c-c911-ad6c-kr-c774-ace1-b3d9/region_tutor,READY_REMOVE_DUPLICATE_H1,true,대구,40,true,C:\프로젝트\tutorplan\output\tutor\kr-b300-ad6c-kr-b300-ad6c-c911-ad6c-kr-c774-ace1-b3d9\region_tutor\index.html,True,GENERATED_K_REMOVE_H1
candidate:tutor:kr-b300-ad6c-kr-b300-ad6c-c911-ad6c-kr-d654-c6d0-c74d:region_tutor,/tutor/kr-b300-ad6c-kr-b300-ad6c-c911-ad6c-kr-d654-c6d0-c74d/region_tutor,READY_REMOVE_DUPLICATE_H1,true,대구,44,true,C:\프로젝트\tutorplan\output\tutor\kr-b300-ad6c-kr-b300-ad6c-c911-ad6c-kr-d654-c6d0-c74d\region_tutor\index.html,True,GENERATED_K_REMOVE_H1
candidate:tutor:kr-b300-ad6c-kr-b300-ad6c-c911-ad6c-kr-b300-ad6c-bd88-b85c-b3d9:region_tutor,/tutor/kr-b300-ad6c-kr-b300-ad6c-c911-ad6c-kr-b300-ad6c-bd88-b85c-b3d9/region_tutor,READY_REMOVE_DUPLICATE_H1,true,대구,48,true,C:\프로젝트\tutorplan\output\tutor\kr-b300-ad6c-kr-b300-ad6c-c911-ad6c-kr-b300-ad6c-bd88-b85c-b3d9\region_tutor\index.html,True,GENERATED_K_REMOVE_H1
candidate:tutor:kr-b300-ad6c-kr-b300-ad6c-c911-ad6c-kr-b300-b9bc-b3d9:region_tutor,/tutor/kr-b300-ad6c-kr-b300-ad6c-c911-ad6c-kr-b300-b9bc-b3d9/region_tutor,READY_REMOVE_DUPLICATE_H1,true,대구,49,true,C:\프로젝트\tutorplan\output\tutor\kr-b300-ad6c-kr-b300-ad6c-c911-ad6c-kr-b300-b9bc-b3d9\region_tutor\index.html,True,GENERATED_K_REMOVE_H1
candidate:tutor:kr-b300-ad6c-kr-b300-ad6c-c911-ad6c-kr-c2e0-c11c-b3d9:region_tutor,/tutor/kr-b300-ad6c-kr-b300-ad6c-c911-ad6c-kr-c2e0-c11c-b3d9/region_tutor,READY_REMOVE_DUPLICATE_H1,true,대구,52,true,C:\프로젝트\tutorplan\output\tutor\kr-b300-ad6c-kr-b300-ad6c-c911-ad6c-kr-c2e0-c11c-b3d9\region_tutor\index.html,True,GENERATED_K_REMOVE_H1
candidate:tutor:kr-b300-ad6c-kr-b300-ad6c-c911-ad6c-kr-c2e0-c554-b3d9:region_tutor,/tutor/kr-b300-ad6c-kr-b300-ad6c-c911-ad6c-kr-c2e0-c554-b3d9/region_tutor,READY_REMOVE_DUPLICATE_H1,true,대구,55,true,C:\프로젝트\tutorplan\output\tutor\kr-b300-ad6c-kr-b300-ad6c-c911-ad6c-kr-c2e0-c554-b3d9\region_tutor\index.html,True,GENERATED_K_REMOVE_H1
candidate:tutor:kr-b300-ad6c-kr-b300-ad6c-c911-ad6c-kr-d6a8-baa9-b3d9:region_tutor,/tutor/kr-b300-ad6c-kr-b300-ad6c-c911-ad6c-kr-d6a8-baa9-b3d9/region_tutor,READY_REMOVE_DUPLICATE_H1,true,대구,59,true,C:\프로젝트\tutorplan\output\tutor\kr-b300-ad6c-kr-b300-ad6c-c911-ad6c-kr-d6a8-baa9-b3d9\region_tutor\index.html,True,GENERATED_K_REMOVE_H1
candidate:tutor:kr-b300-ad6c-kr-b300-ad6c-c911-ad6c-kr-b3d9-d638-b3d9:region_tutor,/tutor/kr-b300-ad6c-kr-b300-ad6c-c911-ad6c-kr-b3d9-d638-b3d9/region_tutor,READY_REMOVE_DUPLICATE_H1,true,대구,60,true,C:\프로젝트\tutorplan\output\tutor\kr-b300-ad6c-kr-b300-ad6c-c911-ad6c-kr-b3d9-d638-b3d9\region_tutor\index.html,True,GENERATED_K_REMOVE_H1
candidate:tutor:kr-b300-ad6c-kr-b300-ad6c-c911-ad6c-kr-d3c9-b9ac-b3d9:region_tutor,/tutor/kr-b300-ad6c-kr-b300-ad6c-c911-ad6c-kr-d3c9-b9ac-b3d9/region_tutor,READY_REMOVE_DUPLICATE_H1,true,대구,62,true,C:\프로젝트\tutorplan\output\tutor\kr-b300-ad6c-kr-b300-ad6c-c911-ad6c-kr-d3c9-b9ac-b3d9\region_tutor\index.html,True,GENERATED_K_REMOVE_H1
candidate:tutor:kr-b300-ad6c-kr-b300-ad6c-c911-ad6c-kr-ac00-cc9c-b3d9:region_tutor,/tutor/kr-b300-ad6c-kr-b300-ad6c-c911-ad6c-kr-ac00-cc9c-b3d9/region_tutor,READY_REMOVE_DUPLICATE_H1,true,대구,64,true,C:\프로젝트\tutorplan\output\tutor\kr-b300-ad6c-kr-b300-ad6c-c911-ad6c-kr-ac00-cc9c-b3d9\region_tutor\index.html,True,GENERATED_K_REMOVE_H1
candidate:tutor:kr-b300-ad6c-kr-b300-ad6c-c911-ad6c-kr-ace0-baa8-b3d9:region_tutor,/tutor/kr-b300-ad6c-kr-b300-ad6c-c911-ad6c-kr-ace0-baa8-b3d9/region_tutor,READY_REMOVE_DUPLICATE_H1,true,대구,65,true,C:\프로젝트\tutorplan\output\tutor\kr-b300-ad6c-kr-b300-ad6c-c911-ad6c-kr-ace0-baa8-b3d9\region_tutor\index.html,True,GENERATED_K_REMOVE_H1
