page_id,region_id,keyword,sheet,row,route,status
candidate:tutor:seoul:region_tutor,seoul,서울과외,서울,2,/tutor/seoul/region_tutor,HOLD_CONTENT
candidate:tutor:seoul-gangnam:region_tutor,seoul-gangnam,강남구과외,서울,3,/tutor/seoul-gangnam/region_tutor,HOLD_CONTENT
candidate:tutor:seoul-kr-ac15-b3d9-ad6c:region_tutor,seoul-kr-ac15-b3d9-ad6c,강동구과외,서울,4,/tutor/seoul-kr-ac15-b3d9-ad6c/region_tutor,HOLD_CONTENT
candidate:tutor:seoul-kr-ac15-bd81-ad6c:region_tutor,seoul-kr-ac15-bd81-ad6c,강북구과외,서울,5,/tutor/seoul-kr-ac15-bd81-ad6c/region_tutor,HOLD_CONTENT
candidate:tutor:seoul-kr-ac15-c11c-ad6c:region_tutor,seoul-kr-ac15-c11c-ad6c,강서구과외,서울,6,/tutor/seoul-kr-ac15-c11c-ad6c/region_tutor,HOLD_CONTENT
candidate:tutor:seoul-kr-ad00-c545-ad6c:region_tutor,seoul-kr-ad00-c545-ad6c,관악구과외,서울,7,/tutor/seoul-kr-ad00-c545-ad6c/region_tutor,HOLD_CONTENT
candidate:tutor:seoul-kr-ad11-c9c4-ad6c:region_tutor,seoul-kr-ad11-c9c4-ad6c,광진구과외,서울,8,/tutor/seoul-kr-ad11-c9c4-ad6c/region_tutor,HOLD_CONTENT
candidate:tutor:seoul-kr-ad6c-b85c-ad6c:region_tutor,seoul-kr-ad6c-b85c-ad6c,구로구과외,서울,9,/tutor/seoul-kr-ad6c-b85c-ad6c/region_tutor,HOLD_CONTENT
candidate:tutor:seoul-kr-ae08-cc9c-ad6c:region_tutor,seoul-kr-ae08-cc9c-ad6c,금천구과외,서울,10,/tutor/seoul-kr-ae08-cc9c-ad6c/region_tutor,HOLD_CONTENT
candidate:tutor:seoul-kr-b178-c6d0-ad6c:region_tutor,seoul-kr-b178-c6d0-ad6c,노원구과외,서울,11,/tutor/seoul-kr-b178-c6d0-ad6c/region_tutor,HOLD_CONTENT
candidate:tutor:seoul-kr-b3c4-bd09-ad6c:region_tutor,seoul-kr-b3c4-bd09-ad6c,도봉구과외,서울,12,/tutor/seoul-kr-b3c4-bd09-ad6c/region_tutor,HOLD_CONTENT
candidate:tutor:seoul-kr-b3d9-b300-bb38-ad6c:region_tutor,seoul-kr-b3d9-b300-bb38-ad6c,동대문구과외,서울,13,/tutor/seoul-kr-b3d9-b300-bb38-ad6c/region_tutor,HOLD_CONTENT
candidate:tutor:seoul-kr-b3d9-c791-ad6c:region_tutor,seoul-kr-b3d9-c791-ad6c,동작구과외,서울,14,/tutor/seoul-kr-b3d9-c791-ad6c/region_tutor,HOLD_CONTENT
candidate:tutor:seoul-kr-b9c8-d3ec-ad6c:region_tutor,seoul-kr-b9c8-d3ec-ad6c,마포구과외,서울,15,/tutor/seoul-kr-b9c8-d3ec-ad6c/region_tutor,HOLD_CONTENT
candidate:tutor:seoul-kr-c11c-b300-bb38-ad6c:region_tutor,seoul-kr-c11c-b300-bb38-ad6c,서대문구과외,서울,16,/tutor/seoul-kr-c11c-b300-bb38-ad6c/region_tutor,HOLD_CONTENT
candidate:tutor:seoul-kr-c11c-cd08-ad6c:region_tutor,seoul-kr-c11c-cd08-ad6c,서초구과외,서울,17,/tutor/seoul-kr-c11c-cd08-ad6c/region_tutor,HOLD_CONTENT
candidate:tutor:seoul-kr-c131-b3d9-ad6c:region_tutor,seoul-kr-c131-b3d9-ad6c,성동구과외,서울,18,/tutor/seoul-kr-c131-b3d9-ad6c/region_tutor,HOLD_CONTENT
candidate:tutor:seoul-kr-c131-bd81-ad6c:region_tutor,seoul-kr-c131-bd81-ad6c,성북구과외,서울,19,/tutor/seoul-kr-c131-bd81-ad6c/region_tutor,HOLD_CONTENT
candidate:tutor:seoul-kr-c1a1-d30c-ad6c:region_tutor,seoul-kr-c1a1-d30c-ad6c,송파구과외,서울,20,/tutor/seoul-kr-c1a1-d30c-ad6c/region_tutor,HOLD_CONTENT
candidate:tutor:seoul-kr-c591-cc9c-ad6c:region_tutor,seoul-kr-c591-cc9c-ad6c,양천구과외,서울,21,/tutor/seoul-kr-c591-cc9c-ad6c/region_tutor,HOLD_CONTENT
candidate:tutor:seoul-kr-c601-b4f1-d3ec-ad6c:region_tutor,seoul-kr-c601-b4f1-d3ec-ad6c,영등포구과외,서울,22,/tutor/seoul-kr-c601-b4f1-d3ec-ad6c/region_tutor,HOLD_CONTENT
