pattern,count
{term} {term} {term} {term} {term} {term} {term} {term} {term}.,66
{term} {term} {term} {term} {term} {term} {term} {term}.,53
{term} {term} {term} {term} {term} {term} {term} {term} {term} {term}.,45
{term} {term} {term}: {term} {term} {term} {term} {term} {term} {term} {term} {term} {term} {term} {term} {term} {term} {term} {term} {term} {term},42
"{term} {term} {term} {term} {term} {term}, {term} {term} {term} {term}, {term} {term} {term} {term}, {term} {term} {term} {term} {term} {term}",42
{term} {term} {term}: {term} {term} {term} {term} {term} {term} {term} {term} {term} {term} {term} {term} {term} {term} {term} {term} {term} {term} {term},41
{term} {term} {term} {term} {term} {term}.,40
{term} {term} {term}: {term} {term} {term} {term} {term} {term} {term} {term} {term} {term} {term} {term} {term} {term} {term} {term} {term} ,36
{term} {term} {term}: {term} {term} {term} {term} {term} {term} {term} {term} {term} {term} {term} {term} {term} {term} {term} {term} {term},35
{term} {term} {term}: {term} {term} {term} {term} {term} {term} {term} {term} {term} {term} {term} {term} {term} {term} {term} {term}.,31
{term} {term} {term}: {term} {term} {term} {term} {term} {term} {term} {term} {term} {term} {term} {term} {term} {term} {term} {term} {term} {term} ,30
{term} {term} {term} {term} {term} {term} {term}.,30
{term} {term} {term} {term} {term}.,29
{term} {term} {term}: {term} {term} {term} {term} {term} {term} {term} {term} {term} {term} {term} {term} {term} {term} {term} {term} {term} {term} {term} {term},27
{term} {term} {term}: {term} {term} {term} {term} {term} {term} {term} {term} {term} {term} {term} {term} {term} {term} {term} {term} {term} {term} {term} ,26
{term} {term} “{term} {term} {term} {term} {term} {term} {term} {term} {term} {term} {term} {term} {term} {term} {term} {term} {term},25
{term} {term}: {term} {term} {term} {term} {term} {term} {term} {term} {term} {term} {term} {term} {term} {term} {term} {term}.,25
{term} {term} {term}: {term} {term} {term} {term} {term} {term} {term} {term} {term} {term} {term} {term} {term} {term} {term} {term} {term}.,24
{term} “{term} {term} {term} {term} {term} {term} {term} {term} {term} {term} {term} {term} {term} {term} {term} {term} {term} {term} {term},22
{term} {term} {term}: {term} {term} {term} {term} {term} {term} {term} {term} {term} {term} {term} {term} {term} {term} {term}.,21
{term} {term} “{term} {term} {term} {term} {term} {term} {term} {term} {term} {term} {term} {term} {term} {term} {term} {term} {term} {term},20
{term} {term} {term} {term} {term} 이 한 {term} {term} {term}.,20
{term} {term} {term} {term} {term} {term} {term} {term} {term} {term} {term} {term} {term} {term} {term} {term} {term} {term} {term} {term} {term},19
{term} {term}: {term} {term} {term} {term} {term} {term} {term} {term} {term} {term} {term} {term} {term} {term} {term}.,18
"{term} {term} {term} {term} {term} {term} {term}, {term} {term} {term} {term}, {term} {term} {term} {term}, {term} {term} {term} {term} {term}",18
{term} {term} {term} {term}.,18
{term} “{term} {term} {term} {term} {term} {term} {term} {term} {term} {term} {term}.,17
{term} {term} {term}: {term} {term} {term} {term} {term} {term} {term} {term} {term} {term} {term} {term} {term} {term} {term} {term} {term} {term}.,17
{term} {term}: {term} {term} {term} {term} {term} {term} {term} {term} {term} {term} {term} {term} {term} {term} {term} {term} {term} {term}.,17
{term} “{term} {term} {term} {term} {term} {term} {term} {term} {term}.,17
{term} {term} {term} {term} 한 {term} {term} {term} {term}.,17
{term} {term} ‘{term} {term}’ {term}.,17
"{term} {term} {term} {term} {term} {term}, {term} {term} {term} {term}, {term} {term} {term} {term}, {term} {term} {term} {term} {term} {term} ",16
{term} {term}: {term} {term} {term} {term}.,16
{term} {term} {term} 쓸 {term} {term} {term} {term}.,16
{term} “{term} {term} {term} {term} {term} {term} {term} {term} {term} {term} {term} {term} {term} {term} {term} {term} {term} {term},15
"{term} {term} {term} {term} {term} {term} {term}, {term} {term} {term} {term}, {term} {term} {term} {term}, {term} {term} {term} {term}",15
"{term} {term} {term} {term} {term} {term}, {term} {term} {term} {term}, {term} {term} {term} {term}, {term} {term} {term} {term} {term} {term} {term}",15
{term} {term} {term} {term} 쓸 {term} {term} {term} {term}.,15
{term} {term} {term}: {term} {term} {term} {term} {term} {term} {term} {term} {term} {term} {term} {term} {term} {term} {term} {term},14
{term} “{term} {term} {term} {term} {term} {term} {term} {term} {term} {term}.,14
{term} ‘{term} {term}’ {term} {term} {term} {term}.,14
{term} {term} “{term} {term} {term} {term} {term} {term} {term} {term} {term} {term} {term} {term}.,13
{term} {term} {term}: {term} {term} {term} {term} {term} {term} {term} {term} {term} {term} {term} {term} {term} {term} {term} {term} ,13
{term} {term} {term} {term} {term} {term} {term} {term} {term} {term} {term}.,13
{term} “{term} {term} {term} {term} {term} {term} {term} {term} {term} {term} {term} {term} {term} {term} {term} {term} {term} {term} {term} ,12
{term} “{term} {term} {term} {term} {term} {term} {term} {term}.,12
{term} {term}: {term} {term} {term} {term} {term} {term} {term} {term} {term} {term} {term} {term} {term} {term} {term} {term} {term} {term} {term} {term} ,12
{term} {term} “{term} {term} {term} {term} {term} {term} {term} {term} {term} {term} {term}.,11
{term} {term}: {term} {term} {term} {term} {term} {term} {term} {term} {term} {term} {term} {term} {term} {term}.,11
{term} {term}: {term} {term} {term} {term} {term} {term} {term} {term} {term} {term} {term} {term} {term} {term} {term} {term} {term} {term} {term} {term},11
{term} {term} “{term} {term} {term} {term} {term} {term} {term} {term} {term}.,11
"{term} {term} {term} {term} {term} {term} {term}, {term} {term} {term} {term}, {term} {term} {term} {term}, {term} {term} {term} {term} 따",11
"{term} {term} {term} {term} {term} {term} {term}, {term} {term} {term} {term}, {term} {term} {term} {term}, {term} {term} {term} {term} {term} ",11
{term} {term} {term}: {term} {term} {term} {term} {term} {term} {term} {term} {term} {term} {term} {term} {term} {term} {term} {term} {term} {term} {term} →,11
{term} {term} {term}: {term} 첫 {term} {term} {term} {term} {term} {term} 첫 {term} {term} {term} {term} {term} {term}.,11
{term} {term} “{term} {term} {term} {term} {term} {term} {term} {term} {term} {term} {term} {term} {term} {term} {term} {term} {term} ,10
{term} “{term} {term} {term} {term} {term} {term} {term} {term} {term} {term} {term} {term} {term} {term} {term} {term} {term} ,10
"{term} {term} {term} {term} {term} {term}, {term} {term} {term} {term}, {term} {term} {term} {term} {term}, {term} {term} {term} {term} {term} {term}",10
"{term} {term} {term} {term} {term} {term}, {term} {term} {term} {term}, {term} {term} {term} {term}, {term} {term} {term} {term} {term} {term} 다",10
"{term} {term} {term} {term} {term} {term} {term}, {term} {term} {term} {term}, {term} {term} {term} {term}, {term} {term} {term} {term} {term} 적",10
{term} {term}: {term} {term} {term} {term} {term} {term} {term} {term} {term} {term} {term} {term} {term} {term} {term} {term} {term}.,10
{term} {term}: {term} {term} {term} {term} {term} {term} {term} {term} {term} {term} {term} {term} {term} {term} {term} {term} {term} {term} {term} {term} {term},10
{term} “{term} {term} {term} {term} {term}”{term} {term} {term} {term} {term} {term} {term}.,10
{term} {term} “{term} {term} {term} {term} {term} {term}”{term} {term} {term} {term} {term} {term} {term}.,10
{term} {term} {term}: {term} {term} {term} {term} {term} {term} {term} {term} {term} {term} {term} {term} {term} {term} {term} {term} {term} {term} → {term} ,10
{term} {term} {term} {term} {term} {term} {term} ‘{term} {term}’ {term} {term} {term} {term} {term} {term} {term} {term} {term} {term} {term} {term} ,10
{term} {term} “{term} {term} {term} {term} {term} {term} {term} {term} {term} {term}.,9
{term} {term} “{term} {term} {term} {term} {term}”{term} {term} {term} {term} {term} {term} {term}.,9
{term} {term} {term} {term} {term} {term} 수 {term} {term} {term} {term}.,9
{term} {term} ‘{term} {term} {term}’ {term}.,9
{term} {term} {term} 첫 {term} {term} {term} {term} {term}.,9
{term} {term} 꼭 볼 {term} {term} {term} {term} {term}.,9
{term} {term} {term} {term} {term} {term} {term} ‘{term} {term}’ {term} {term} {term} {term} {term} {term} {term} {term} {term} {term} {term} {term},9
{term} {term} {term} {term} {term} {term} {term} {term} {term} {term} ‘{term} {term}’ {term} {term} {term} {term} {term} {term} {term} {term} {term} {term},9
{term} {term} {term} {term} {term} {term} {term} {term} {term} {term} {term}”{term} {term} {term} {term} {term} {term} {term} {term} {term}.,8
"{term} {term} {term} {term} '{term} {term} {term} {term}', {term} {term} '{term} {term} {term} {term}', {term} {term} '{term} {term} {term} {term}",8
"{term} {term} {term} {term} {term} {term} {term}, {term} {term} {term} {term}, {term} {term} {term} {term}, {term} {term} {term} {term} {term} {term}",8
{term} {term} {term}: {term} {term} {term} {term} {term} {term} {term} {term} {term} {term} {term} {term} {term} {term}.,8
"{term} {term} {term} {term} {term} {term}, {term} {term} {term} {term} {term}, {term} {term} {term} {term}, {term} {term} {term} {term} {term}",8
{term} ‘{term} {term} {term}’ {term} {term} {term} {term}.,8
{term} {term} {term} {term} {term} {term} {term} ‘{term} 후 {term}’ {term} {term} {term} 뒤 {term} {term} {term} {term} {term} {term} {term} {term} {term},8
{term} {term} {term} {term} {term} {term} {term} 볼 {term} ‘{term} {term}’ {term} {term} {term} {term} {term} {term} {term} {term} {term} {term} {term} {term},8
{term} {term} {term} {term} {term} {term} {term} {term} {term} {term} {term} {term} {term} {term} {term} {term} {term} {term} {term} {term} {term} ,7
{term} {term} {term} {term} {term} {term} {term} {term} {term} {term}”{term} {term} {term} {term} {term} {term} {term} {term} {term}.,7
