page_id,region_id,title,content_source_id,high_similarity_with,similarity_score,rewrite_required
candidate:tutor:kr-c778-cc9c-kr-bd80-d3c9-ad6c:region_tutor,kr-c778-cc9c-kr-bd80-d3c9-ad6c,인천 인천 인천 인천 부평구 부평구 부평구 부평구 부평구과외,인천:7,candidate:tutor:kr-c778-cc9c-kr-c778-cc9c-c639-c9c4-ad70-kr-c911-c0b0-b3d9:region_tutor,0.549,True
candidate:tutor:kr-c778-cc9c-kr-c778-cc9c-c639-c9c4-ad70-kr-ace0-c794-b3d9:region_tutor,kr-c778-cc9c-kr-c778-cc9c-c639-c9c4-ad70-kr-ace0-c794-b3d9,인천옹진군 인천옹진군 인천옹진군 인천옹진군 고잔동과외,인천:70,candidate:tutor:kr-c778-cc9c-kr-c778-cc9c-c639-c9c4-ad70-kr-c591-b3c4-ba74:region_tutor,0.505,True
candidate:tutor:kr-c778-cc9c-kr-c778-cc9c-c639-c9c4-ad70-kr-ad6c-c0b0-b3d9:region_tutor,kr-c778-cc9c-kr-c778-cc9c-c639-c9c4-ad70-kr-ad6c-c0b0-b3d9,인천옹진군 인천옹진군 인천옹진군 인천옹진군 구산동과외,인천:79,candidate:tutor:kr-c778-cc9c-kr-c778-cc9c-c639-c9c4-ad70-kr-bc31-b839-ba74:region_tutor,0.511,True
candidate:tutor:kr-c778-cc9c-kr-c778-cc9c-c639-c9c4-ad70-kr-b9c8-c804-b3d9:region_tutor,kr-c778-cc9c-kr-c778-cc9c-c639-c9c4-ad70-kr-b9c8-c804-b3d9,인천옹진군 인천옹진군 인천옹진군 인천옹진군 마전동과외,인천:110,candidate:tutor:kr-c778-cc9c-kr-c778-cc9c-c639-c9c4-ad70-kr-c791-c804-b3d9:region_tutor|candidate:tutor:kr-c778-cc9c-kr-c778-cc9c-c639-c9c4-ad70-kr-c790-c6d4-ba74:region_tutor,0.511|0.505,True
candidate:tutor:kr-c778-cc9c-kr-c778-cc9c-c639-c9c4-ad70-kr-bc31-b839-ba74:region_tutor,kr-c778-cc9c-kr-c778-cc9c-c639-c9c4-ad70-kr-bc31-b839-ba74,백령면과외,인천:135,candidate:tutor:kr-c778-cc9c-kr-c778-cc9c-c639-c9c4-ad70-kr-ad6c-c0b0-b3d9:region_tutor,0.511,True
candidate:tutor:kr-c778-cc9c-kr-c778-cc9c-c639-c9c4-ad70-kr-bd88-c740-ba74:region_tutor,kr-c778-cc9c-kr-c778-cc9c-c639-c9c4-ad70-kr-bd88-c740-ba74,불은면과외,인천:123,candidate:tutor:kr-c778-cc9c-kr-c778-cc9c-c639-c9c4-ad70-kr-c218-c0b0-b3d9:region_tutor,0.523,True
candidate:tutor:kr-c778-cc9c-kr-c778-cc9c-c639-c9c4-ad70-kr-c0b0-ace1-b3d9:region_tutor,kr-c778-cc9c-kr-c778-cc9c-c639-c9c4-ad70-kr-c0b0-ace1-b3d9,인천옹진군 인천옹진군 인천옹진군 인천옹진군 산곡동과외,인천:73,candidate:tutor:kr-c778-cc9c-kr-c778-cc9c-c639-c9c4-ad70-kr-c591-c0ac-ba74:region_tutor,0.505,True
candidate:tutor:kr-c778-cc9c-kr-c778-cc9c-c639-c9c4-ad70-kr-c218-c0b0-b3d9:region_tutor,kr-c778-cc9c-kr-c778-cc9c-c639-c9c4-ad70-kr-c218-c0b0-b3d9,수산동과외,인천:67,candidate:tutor:kr-c778-cc9c-kr-c778-cc9c-c639-c9c4-ad70-kr-bd88-c740-ba74:region_tutor,0.523,True
candidate:tutor:kr-c778-cc9c-kr-c778-cc9c-c639-c9c4-ad70-kr-c591-b3c4-ba74:region_tutor,kr-c778-cc9c-kr-c778-cc9c-c639-c9c4-ad70-kr-c591-b3c4-ba74,양도면과외,인천:126,candidate:tutor:kr-c778-cc9c-kr-c778-cc9c-c639-c9c4-ad70-kr-ace0-c794-b3d9:region_tutor,0.505,True
candidate:tutor:kr-c778-cc9c-kr-c778-cc9c-c639-c9c4-ad70-kr-c591-c0ac-ba74:region_tutor,kr-c778-cc9c-kr-c778-cc9c-c639-c9c4-ad70-kr-c591-c0ac-ba74,양사면과외,인천:129,candidate:tutor:kr-c778-cc9c-kr-c778-cc9c-c639-c9c4-ad70-kr-c0b0-ace1-b3d9:region_tutor,0.505,True
