normalized_school_name,school_level,reference_count,region_count,sigungu_count,sido_count,classification,confidence,source_region_statuses
강동고등학교,high_school,19,2,2,1,nearby_school_candidate,low,normal
구암고등학교,high_school,99,8,2,1,nearby_school_candidate,low,normal
경일여자고등학교,high_school,25,3,2,1,nearby_school_candidate,low,normal
경원고등학교,high_school,112,10,3,1,nearby_school_candidate,low,normal
심인고등학교,high_school,61,5,3,1,nearby_school_candidate,low,normal
청구고등학교,high_school,201,17,3,1,nearby_school_candidate,low,normal
경덕여자고등학교,high_school,22,2,2,1,nearby_school_candidate,low,normal
대륜고등학교,high_school,160,14,3,1,nearby_school_candidate,low,normal
신명고등학교,high_school,73,7,2,1,nearby_school_candidate,low,normal
부산과학고등학교,high_school,63,5,3,1,nearby_school_candidate,low,normal
동래여자고등학교,high_school,106,8,2,1,nearby_school_candidate,low,normal
동인고등학교,high_school,60,5,2,1,nearby_school_candidate,low,normal
연제고등학교,high_school,25,2,2,1,nearby_school_candidate,low,normal
신탄진고등학교,high_school,28,3,2,1,nearby_school_candidate,low,normal
남대전고등학교,high_school,63,5,2,1,nearby_school_candidate,low,normal
광주인성고등학교,high_school,75,6,5,1,nearby_school_candidate,low,normal
광주여자고등학교,high_school,114,9,4,1,nearby_school_candidate,low,normal
전주제일고등학교,high_school,144,10,3,1,nearby_school_candidate,low,normal
상지여자고등학교,high_school,161,12,8,1,nearby_school_candidate,low,normal
유봉여자고등학교,high_school,200,16,8,1,nearby_school_candidate,low,normal
안남고등학교,high_school,60,4,4,1,nearby_school_candidate,low,normal
인천고잔고등학교,high_school,111,8,6,1,nearby_school_candidate,low,normal
인화여자고등학교,high_school,101,7,7,1,nearby_school_candidate,low,normal
인천산곡고등학교,high_school,74,6,4,1,nearby_school_candidate,low,normal
인천영종고등학교,high_school,54,4,3,1,nearby_school_candidate,low,normal
동산고등학교,high_school,27,3,3,1,nearby_school_candidate,low,normal
부평여자고등학교,high_school,22,2,2,1,nearby_school_candidate,low,normal
천안여자고등학교,high_school,114,9,5,1,nearby_school_candidate,low,normal
천안월봉고등학교,high_school,226,17,11,1,nearby_school_candidate,low,normal
청주대성고등학교,high_school,23,2,2,1,nearby_school_candidate,low,normal
