page_type,required_content_family,available_content_family,content_match_status,rollout_status
region_tutor,general_tutor,general_tutor,EXACT,READY_FOR_CONTENT_GENERATION
region_subject,subject_english,general_tutor,MISSING,WAITING_FOR_DATASET
region_subject,subject_math,general_tutor,MISSING,WAITING_FOR_DATASET
region_subject,subject_korean,general_tutor,MISSING,WAITING_FOR_DATASET
region_subject,subject_science,general_tutor,MISSING,WAITING_FOR_DATASET
region_stage,stage_elementary,general_tutor,MISSING,WAITING_FOR_DATASET
region_stage,stage_middle,general_tutor,MISSING,WAITING_FOR_DATASET
region_stage,stage_high,general_tutor,MISSING,WAITING_FOR_DATASET
region_stage_subject,stage_subject,general_tutor,MISSING,WAITING_FOR_DATASET
region_stage_subject,stage_subject,general_tutor,MISSING,WAITING_FOR_DATASET
region_stage_subject,stage_subject,general_tutor,MISSING,WAITING_FOR_DATASET
region_stage_subject,stage_subject,general_tutor,MISSING,WAITING_FOR_DATASET
region_stage_subject,stage_subject,general_tutor,MISSING,WAITING_FOR_DATASET
region_stage_subject,stage_subject,general_tutor,MISSING,WAITING_FOR_DATASET
region_stage_subject,stage_subject,general_tutor,MISSING,WAITING_FOR_DATASET
region_stage_subject,stage_subject,general_tutor,MISSING,WAITING_FOR_DATASET
region_stage_subject,stage_subject,general_tutor,MISSING,WAITING_FOR_DATASET
region_stage_subject,stage_subject,general_tutor,MISSING,WAITING_FOR_DATASET
region_stage_subject,stage_subject,general_tutor,MISSING,WAITING_FOR_DATASET
region_stage_subject,stage_subject,general_tutor,MISSING,WAITING_FOR_DATASET
region_school_type,school_type,general_tutor,MISSING,WAITING_FOR_DATASET
region_school_type,school_type,general_tutor,MISSING,WAITING_FOR_DATASET
region_school_type,school_type,general_tutor,MISSING,WAITING_FOR_DATASET
region_school_type_subject,school_type_subject,general_tutor,MISSING,WAITING_FOR_DATASET
region_school_type_subject,school_type_subject,general_tutor,MISSING,WAITING_FOR_DATASET
region_school_type_subject,school_type_subject,general_tutor,MISSING,WAITING_FOR_DATASET
region_school_type_subject,school_type_subject,general_tutor,MISSING,WAITING_FOR_DATASET
region_school_type_subject,school_type_subject,general_tutor,MISSING,WAITING_FOR_DATASET
region_school_type_subject,school_type_subject,general_tutor,MISSING,WAITING_FOR_DATASET
region_school_type_subject,school_type_subject,general_tutor,MISSING,WAITING_FOR_DATASET
region_school_type_subject,school_type_subject,general_tutor,MISSING,WAITING_FOR_DATASET
region_school_type_subject,school_type_subject,general_tutor,MISSING,WAITING_FOR_DATASET
region_school_type_subject,school_type_subject,general_tutor,MISSING,WAITING_FOR_DATASET
region_school_type_subject,school_type_subject,general_tutor,MISSING,WAITING_FOR_DATASET
region_school_type_subject,school_type_subject,general_tutor,MISSING,WAITING_FOR_DATASET
region_exam,school_exam_general,general_tutor,MISSING,WAITING_FOR_DATASET
region_exam,csat_general,general_tutor,MISSING,WAITING_FOR_DATASET
region_exam_subject,school_exam_subject,general_tutor,MISSING,WAITING_FOR_DATASET
region_exam_subject,school_exam_subject,general_tutor,MISSING,WAITING_FOR_DATASET
region_exam_subject,school_exam_subject,general_tutor,MISSING,WAITING_FOR_DATASET
region_exam_subject,school_exam_subject,general_tutor,MISSING,WAITING_FOR_DATASET
region_exam_subject,csat_subject,general_tutor,MISSING,WAITING_FOR_DATASET
region_exam_subject,csat_subject,general_tutor,MISSING,WAITING_FOR_DATASET
region_exam_subject,csat_subject,general_tutor,MISSING,WAITING_FOR_DATASET
region_exam_subject,csat_subject,general_tutor,MISSING,WAITING_FOR_DATASET
region_tutor,general_tutor,general_tutor,EXACT,READY_FOR_CONTENT_GENERATION
