source_sheet,source_row,original_keyword,normalized_region_name,candidate_sido,candidate_sigungu,candidate_parent,match_method,confidence,reason,status,candidate_parents,region_id,parent_region_id
대전,9,대전동구 삼정동,삼정동,대전광역시,,,official_legal_dong_exact_name_within_source_sheet,low,Multiple active legal-dong parents matched within the source-sheet jurisdiction.,needs_review,"['대덕구', '동구']",kr-b300-c804-kr-c0bc-c815-b3d9,
대전,11,대전동구 대동,대동,대전광역시,,,official_legal_dong_exact_name_within_source_sheet,low,Multiple active legal-dong parents matched within the source-sheet jurisdiction.,needs_review,"['동구', '유성구']",kr-b300-c804-kr-b300-b3d9,
대전,25,대전동구 용계동,용계동,대전광역시,,,official_legal_dong_exact_name_within_source_sheet,low,Multiple active legal-dong parents matched within the source-sheet jurisdiction.,needs_review,"['동구', '유성구']",kr-b300-c804-kr-c6a9-acc4-b3d9,
대전,35,대전동구 오동,오동,대전광역시,,,official_legal_dong_exact_name_within_source_sheet,low,Multiple active legal-dong parents matched within the source-sheet jurisdiction.,needs_review,"['동구', '서구']",kr-b300-c804-kr-c624-b3d9,
대전,86,대전서구 평촌동,평촌동,대전광역시,,,official_legal_dong_exact_name_within_source_sheet,low,Multiple active legal-dong parents matched within the source-sheet jurisdiction.,needs_review,"['대덕구', '서구']",kr-b300-c804-kr-d3c9-cd0c-b3d9,
대전,117,대전유성구 장동,장동,대전광역시,,,official_legal_dong_exact_name_within_source_sheet,low,Multiple active legal-dong parents matched within the source-sheet jurisdiction.,needs_review,"['대덕구', '유성구']",kr-b300-c804-kr-c7a5-b3d9,
세종,2,반곡동,반곡동,세종특별자치시,,,official_candidate_conflicts_with_source_sheet,low,Official candidates exist only outside the source-sheet jurisdiction.,needs_review,[],kr-c138-c885-kr-bc18-ace1-b3d9,
세종,5,대평동,대평동,세종특별자치시,,,official_candidate_conflicts_with_source_sheet,low,Official candidates exist only outside the source-sheet jurisdiction.,needs_review,[],kr-c138-c885-kr-b300-d3c9-b3d9,
세종,25,금남면,금남면,세종특별자치시,,,official_candidate_conflicts_with_source_sheet,low,Official candidates exist only outside the source-sheet jurisdiction.,needs_review,[],kr-c138-c885-kr-ae08-b0a8-ba74,
제주도,35,송산동,송산동,제주특별자치도,,,official_candidate_conflicts_with_source_sheet,low,Official candidates exist only outside the source-sheet jurisdiction.,needs_review,[],kr-c81c-c8fc-b3c4-kr-c1a1-c0b0-b3d9,
제주도,37,중앙동,중앙동,제주특별자치도,,,official_candidate_conflicts_with_source_sheet,low,Official candidates exist only outside the source-sheet jurisdiction.,needs_review,[],kr-c81c-c8fc-b3c4-kr-c911-c559-b3d9,
제주도,40,영천동,영천동,제주특별자치도,,,official_candidate_conflicts_with_source_sheet,low,Official candidates exist only outside the source-sheet jurisdiction.,needs_review,[],kr-c81c-c8fc-b3c4-kr-c601-cc9c-b3d9,
제주도,44,대천동,대천동,제주특별자치도,,,official_candidate_conflicts_with_source_sheet,low,Official candidates exist only outside the source-sheet jurisdiction.,needs_review,[],kr-c81c-c8fc-b3c4-kr-b300-cc9c-b3d9,
