source_sheet,source_row,original_keyword,normalized_region_name,candidate_sido,candidate_sigungu,candidate_parent,match_method,confidence,reason,status,candidate_parents,region_id,parent_region_id
대전,2,대전동구 원동,원동,대전광역시,동구,동구,official_legal_dong_exact_name_within_source_sheet,high,Exactly one active legal-dong parent matched the source-sheet jurisdiction.,confirmed,['동구'],kr-b300-c804-kr-c6d0-b3d9,kr-b300-c804-kr-b3d9-ad6c
대전,3,대전동구 인동,인동,대전광역시,동구,동구,official_legal_dong_exact_name_within_source_sheet,high,Exactly one active legal-dong parent matched the source-sheet jurisdiction.,confirmed,['동구'],kr-b300-c804-kr-c778-b3d9,kr-b300-c804-kr-b3d9-ad6c
대전,4,대전동구 효동,효동,대전광역시,동구,동구,official_legal_dong_exact_name_within_source_sheet,high,Exactly one active legal-dong parent matched the source-sheet jurisdiction.,confirmed,['동구'],kr-b300-c804-kr-d6a8-b3d9,kr-b300-c804-kr-b3d9-ad6c
대전,5,대전동구 천동,천동,대전광역시,동구,동구,official_legal_dong_exact_name_within_source_sheet,high,Exactly one active legal-dong parent matched the source-sheet jurisdiction.,confirmed,['동구'],kr-b300-c804-kr-cc9c-b3d9,kr-b300-c804-kr-b3d9-ad6c
대전,6,가오동,가오동,대전광역시,동구,동구,official_legal_dong_exact_name_within_source_sheet,high,Exactly one active legal-dong parent matched the source-sheet jurisdiction.,confirmed,['동구'],kr-b300-c804-kr-ac00-c624-b3d9,kr-b300-c804-kr-b3d9-ad6c
대전,7,신흥동,신흥동,대전광역시,동구,동구,official_legal_dong_exact_name_within_source_sheet,high,Exactly one active legal-dong parent matched the source-sheet jurisdiction.,confirmed,['동구'],kr-b300-c804-kr-c2e0-d765-b3d9,kr-b300-c804-kr-b3d9-ad6c
대전,8,판암동,판암동,대전광역시,동구,동구,official_legal_dong_exact_name_within_source_sheet,high,Exactly one active legal-dong parent matched the source-sheet jurisdiction.,confirmed,['동구'],kr-b300-c804-kr-d310-c554-b3d9,kr-b300-c804-kr-b3d9-ad6c
대전,9,대전동구 삼정동,삼정동,대전광역시,,,official_legal_dong_exact_name_within_source_sheet,low,Multiple active legal-dong parents matched within the source-sheet jurisdiction.,needs_review,"['대덕구', '동구']",kr-b300-c804-kr-c0bc-c815-b3d9,
대전,10,용운동,용운동,대전광역시,동구,동구,official_legal_dong_exact_name_within_source_sheet,high,Exactly one active legal-dong parent matched the source-sheet jurisdiction.,confirmed,['동구'],kr-b300-c804-kr-c6a9-c6b4-b3d9,kr-b300-c804-kr-b3d9-ad6c
대전,11,대전동구 대동,대동,대전광역시,,,official_legal_dong_exact_name_within_source_sheet,low,Multiple active legal-dong parents matched within the source-sheet jurisdiction.,needs_review,"['동구', '유성구']",kr-b300-c804-kr-b300-b3d9,
대전,12,자양동,자양동,대전광역시,동구,동구,official_legal_dong_exact_name_within_source_sheet,high,Exactly one active legal-dong parent matched the source-sheet jurisdiction.,confirmed,['동구'],kr-b300-c804-kr-c790-c591-b3d9,kr-b300-c804-kr-b3d9-ad6c
대전,13,신안동,신안동,대전광역시,동구,동구,official_legal_dong_exact_name_within_source_sheet,high,Exactly one active legal-dong parent matched the source-sheet jurisdiction.,confirmed,['동구'],kr-b300-c804-kr-c2e0-c548-b3d9,kr-b300-c804-kr-b3d9-ad6c
대전,14,소제동,소제동,대전광역시,동구,동구,official_legal_dong_exact_name_within_source_sheet,high,Exactly one active legal-dong parent matched the source-sheet jurisdiction.,confirmed,['동구'],kr-b300-c804-kr-c18c-c81c-b3d9,kr-b300-c804-kr-b3d9-ad6c
대전,15,가양동,가양동,대전광역시,동구,동구,official_legal_dong_exact_name_within_source_sheet,high,Exactly one active legal-dong parent matched the source-sheet jurisdiction.,confirmed,['동구'],kr-b300-c804-kr-ac00-c591-b3d9,kr-b300-c804-kr-b3d9-ad6c
대전,16,용전동,용전동,대전광역시,동구,동구,official_legal_dong_exact_name_within_source_sheet,high,Exactly one active legal-dong parent matched the source-sheet jurisdiction.,confirmed,['동구'],kr-b300-c804-kr-c6a9-c804-b3d9,kr-b300-c804-kr-b3d9-ad6c
