source_sheet,source_row,original_keyword,normalized_region_name,candidate_sido,candidate_sigungu,candidate_parent,match_method,confidence,reason,status,candidate_parents,region_id,parent_region_id
세종,3,소담동,소담동,세종특별자치시,,,no_official_candidate_within_source_sheet,low,No active legal-dong candidate matched within the source-sheet jurisdiction.,unresolved,[],kr-c138-c885-kr-c18c-b2f4-b3d9,
세종,4,보람동,보람동,세종특별자치시,,,no_official_candidate_within_source_sheet,low,No active legal-dong candidate matched within the source-sheet jurisdiction.,unresolved,[],kr-c138-c885-kr-bcf4-b78c-b3d9,
세종,6,가람동,가람동,세종특별자치시,,,no_official_candidate_within_source_sheet,low,No active legal-dong candidate matched within the source-sheet jurisdiction.,unresolved,[],kr-c138-c885-kr-ac00-b78c-b3d9,
세종,7,한솔동,한솔동,세종특별자치시,,,no_official_candidate_within_source_sheet,low,No active legal-dong candidate matched within the source-sheet jurisdiction.,unresolved,[],kr-c138-c885-kr-d55c-c194-b3d9,
세종,8,나성동,나성동,세종특별자치시,,,no_official_candidate_within_source_sheet,low,No active legal-dong candidate matched within the source-sheet jurisdiction.,unresolved,[],kr-c138-c885-kr-b098-c131-b3d9,
세종,9,새롬동,새롬동,세종특별자치시,,,no_official_candidate_within_source_sheet,low,No active legal-dong candidate matched within the source-sheet jurisdiction.,unresolved,[],kr-c138-c885-kr-c0c8-b86c-b3d9,
세종,10,다정동,다정동,세종특별자치시,,,no_official_candidate_within_source_sheet,low,No active legal-dong candidate matched within the source-sheet jurisdiction.,unresolved,[],kr-c138-c885-kr-b2e4-c815-b3d9,
세종,11,어진동,어진동,세종특별자치시,,,no_official_candidate_within_source_sheet,low,No active legal-dong candidate matched within the source-sheet jurisdiction.,unresolved,[],kr-c138-c885-kr-c5b4-c9c4-b3d9,
세종,12,종촌동,종촌동,세종특별자치시,,,no_official_candidate_within_source_sheet,low,No active legal-dong candidate matched within the source-sheet jurisdiction.,unresolved,[],kr-c138-c885-kr-c885-cd0c-b3d9,
세종,13,고운동,고운동,세종특별자치시,,,no_official_candidate_within_source_sheet,low,No active legal-dong candidate matched within the source-sheet jurisdiction.,unresolved,[],kr-c138-c885-kr-ace0-c6b4-b3d9,
세종,14,아름동,아름동,세종특별자치시,,,no_official_candidate_within_source_sheet,low,No active legal-dong candidate matched within the source-sheet jurisdiction.,unresolved,[],kr-c138-c885-kr-c544-b984-b3d9,
세종,15,도담동,도담동,세종특별자치시,,,no_official_candidate_within_source_sheet,low,No active legal-dong candidate matched within the source-sheet jurisdiction.,unresolved,[],kr-c138-c885-kr-b3c4-b2f4-b3d9,
세종,16,산울동,산울동,세종특별자치시,,,no_official_candidate_within_source_sheet,low,No active legal-dong candidate matched within the source-sheet jurisdiction.,unresolved,[],kr-c138-c885-kr-c0b0-c6b8-b3d9,
세종,17,해밀동,해밀동,세종특별자치시,,,no_official_candidate_within_source_sheet,low,No active legal-dong candidate matched within the source-sheet jurisdiction.,unresolved,[],kr-c138-c885-kr-d574-bc00-b3d9,
세종,18,집현동,집현동,세종특별자치시,,,no_official_candidate_within_source_sheet,low,No active legal-dong candidate matched within the source-sheet jurisdiction.,unresolved,[],kr-c138-c885-kr-c9d1-d604-b3d9,
세종,19,합강동,합강동,세종특별자치시,,,no_official_candidate_within_source_sheet,low,No active legal-dong candidate matched within the source-sheet jurisdiction.,unresolved,[],kr-c138-c885-kr-d569-ac15-b3d9,
세종,20,누리동,누리동,세종특별자치시,,,no_official_candidate_within_source_sheet,low,No active legal-dong candidate matched within the source-sheet jurisdiction.,unresolved,[],kr-c138-c885-kr-b204-b9ac-b3d9,
세종,21,조치원읍,조치원읍,세종특별자치시,,,no_official_candidate_within_source_sheet,low,No active legal-dong candidate matched within the source-sheet jurisdiction.,unresolved,[],kr-c138-c885-kr-c870-ce58-c6d0-c74d,
세종,22,연기면,연기면,세종특별자치시,,,no_official_candidate_within_source_sheet,low,No active legal-dong candidate matched within the source-sheet jurisdiction.,unresolved,[],kr-c138-c885-kr-c5f0-ae30-ba74,
세종,23,연동면,연동면,세종특별자치시,,,no_official_candidate_within_source_sheet,low,No active legal-dong candidate matched within the source-sheet jurisdiction.,unresolved,[],kr-c138-c885-kr-c5f0-b3d9-ba74,
세종,24,부강면,부강면,세종특별자치시,,,no_official_candidate_within_source_sheet,low,No active legal-dong candidate matched within the source-sheet jurisdiction.,unresolved,[],kr-c138-c885-kr-bd80-ac15-ba74,
세종,26,장군면,장군면,세종특별자치시,,,no_official_candidate_within_source_sheet,low,No active legal-dong candidate matched within the source-sheet jurisdiction.,unresolved,[],kr-c138-c885-kr-c7a5-ad70-ba74,
세종,27,연서면,연서면,세종특별자치시,,,no_official_candidate_within_source_sheet,low,No active legal-dong candidate matched within the source-sheet jurisdiction.,unresolved,[],kr-c138-c885-kr-c5f0-c11c-ba74,
