normalized_school_name,school_level,reference_count,region_count,sigungu_count,sido_count,classification,confidence,source_region_statuses
함지고등학교,high_school,10,1,1,1,manual_review,low,normal
학남고등학교,high_school,6,1,1,1,manual_review,low,normal
영진고등학교,high_school,10,1,1,1,manual_review,low,normal
칠성고등학교,high_school,4,1,1,1,manual_review,low,normal
경상여자고등학교,high_school,6,1,1,1,manual_review,low,normal
영송여자고등학교,high_school,9,1,1,1,manual_review,low,normal
대구고등학교,high_school,9,1,1,1,manual_review,low,normal
도원고등학교,high_school,8,1,1,1,manual_review,low,normal
상인고등학교,high_school,11,1,1,1,manual_review,low,normal
경화여자고등학교,high_school,6,1,1,1,manual_review,low,normal
송현여자고등학교,high_school,6,1,1,1,manual_review,low,normal
대구외국어고등학교,high_school,8,1,1,1,manual_review,low,normal
효성여자고등학교,high_school,12,1,1,1,manual_review,low,normal
와룡고등학교,high_school,8,1,1,1,manual_review,low,normal
대원고등학교,high_school,10,1,1,1,manual_review,low,normal
대구동부고등학교,high_school,8,1,1,1,manual_review,low,normal
영신고등학교,high_school,5,1,1,1,manual_review,low,normal
대구제일고등학교,high_school,7,1,1,1,manual_review,low,normal
대구서부고등학교,high_school,9,1,1,1,manual_review,low,normal
대구혜화여자고등학교,high_school,13,1,1,1,manual_review,low,normal
경신고등학교,high_school,11,1,1,1,manual_review,low,normal
대구중앙고등학교,high_school,7,1,1,1,manual_review,low,normal
시지고등학교,high_school,5,1,1,1,manual_review,low,normal
수성고등학교,high_school,8,1,1,1,manual_review,low,normal
경북고등학교,high_school,4,1,1,1,manual_review,low,normal
경북여자고등학교,high_school,4,1,1,1,manual_review,low,normal
경북대학교사범대학부설고등학교,high_school,7,1,1,1,manual_review,low,normal
브니엘여자고등학교,high_school,12,1,1,1,manual_review,low,normal
금정여자고등학교,high_school,5,1,1,1,manual_review,low,normal
부산중앙고등학교,high_school,12,1,1,1,manual_review,low,normal
충렬고등학교,high_school,14,1,1,1,manual_review,low,normal
부산동고등학교,high_school,11,1,1,1,manual_review,low,normal
경혜여자고등학교,high_school,13,1,1,1,manual_review,low,normal
금명여자고등학교,high_school,12,1,1,1,manual_review,low,normal
사상고등학교,high_school,7,1,1,1,manual_review,low,normal
부산남일고등학교,high_school,5,1,1,1,manual_review,low,normal
신도고등학교,high_school,13,1,1,1,manual_review,low,normal
대전만년고등학교,high_school,4,1,1,1,manual_review,low,normal
대전예술고등학교,high_school,4,1,1,1,manual_review,low,normal
대전반석고등학교,high_school,7,1,1,1,manual_review,low,normal
대전동산고등학교,high_school,10,1,1,1,manual_review,low,normal
정광고등학교,high_school,4,1,1,1,manual_review,low,normal
비아고등학교,high_school,11,1,1,1,manual_review,low,normal
명진고등학교,high_school,6,1,1,1,manual_review,low,normal
설월여자고등학교,high_school,3,1,1,1,manual_review,low,normal
동아여자고등학교,high_school,10,1,1,1,manual_review,low,normal
고려고등학교,high_school,4,1,1,1,manual_review,low,normal
전남대학교사범대학부설고등학교,high_school,6,1,1,1,manual_review,low,normal
광주동신고등학교,high_school,5,1,1,1,manual_review,low,normal
상무고등학교,high_school,10,1,1,1,manual_review,low,normal
