source_sheet,sido_anchor_count,sido_region_id,sheet_without_sido_anchor,multiple_sido_anchor,cross_sido_parent,parent_loop,status
대구,1,kr-b300-ad6c,False,False,False,False,pass
대전,1,kr-b300-c804,False,False,False,False,pass
인천,1,kr-c778-cc9c,False,False,False,False,pass
광주,1,kr-ad11-c8fc,False,False,False,False,pass
서울,1,seoul,False,False,False,False,pass
부산,1,kr-bd80-c0b0,False,False,False,False,pass
울산,1,kr-c6b8-c0b0,False,False,False,False,pass
세종,1,kr-c138-c885,False,False,False,False,pass
경기도,1,kr-acbd-ae30-b3c4,False,False,False,False,pass
강원도,1,kr-ac15-c6d0-b3c4,False,False,False,False,pass
충북,1,anchor-sido-cda9bd81,False,False,False,False,pass
충남,1,anchor-sido-cda9b0a8,False,False,False,False,pass
전북,1,anchor-sido-c804bd81,False,False,False,False,pass
전남,1,kr-c804-b0a8,False,False,False,False,pass
경북,1,anchor-sido-acbdbd81,False,False,False,False,pass
경남,1,anchor-sido-acbdb0a8,False,False,False,False,pass
제주도,1,kr-c81c-c8fc-b3c4,False,False,False,False,pass
