source_sheet,sheet_row_count,detected_sido,sido_region_id,exists_as_source_region,exists_as_structural_region,indexable_candidate,reason
대구,484,대구,kr-b300-ad6c,True,False,True,source_sido_keyword_present
대전,158,대전,kr-b300-c804,False,True,False,structural_parent_only
인천,139,인천,kr-c778-cc9c,True,False,True,source_sido_keyword_present
광주,116,광주,kr-ad11-c8fc,True,False,True,source_sido_keyword_present
서울,377,서울,seoul,True,False,True,source_sido_keyword_present
부산,150,부산,kr-bd80-c0b0,True,False,True,source_sido_keyword_present
울산,88,울산,kr-c6b8-c0b0,True,False,True,source_sido_keyword_present
세종,29,세종,kr-c138-c885,False,True,False,structural_parent_only
경기도,288,경기도,kr-acbd-ae30-b3c4,True,False,True,source_sido_keyword_present
강원도,142,강원도,kr-ac15-c6d0-b3c4,True,False,True,source_sido_keyword_present
충북,155,충북,,False,False,False,sheet_has_no_sido_row
충남,218,충남,,False,False,False,sheet_has_no_sido_row
전북,249,전북,,False,False,False,sheet_has_no_sido_row
전남,307,전남,kr-c804-b0a8,True,False,True,source_sido_keyword_present
경북,340,경북,,False,False,False,sheet_has_no_sido_row
경남,324,경남,,False,False,False,sheet_has_no_sido_row
제주도,45,제주도,kr-c81c-c8fc-b3c4,False,True,False,structural_parent_only
